# Time (s),Mass (g),Longitudinal moment of inertia (kg·m²),Drag force (N),Drag coefficient (​)
49.479,2589,NaN,71.187,NaN
49.488,2589,NaN,68.799,NaN
49.498,2589,NaN,66.421,NaN
49.51,2589,NaN,64.054,NaN
49.522,2589,NaN,61.695,NaN
49.535,2589,NaN,59.319,NaN
49.549,2589,NaN,56.954,NaN
49.565,2589,NaN,54.602,NaN
49.582,2589,NaN,52.26,NaN
49.602,2589,NaN,49.933,NaN
49.624,2589,NaN,47.622,NaN
49.648,2589,NaN,45.32,NaN
49.675,2589,NaN,43.089,NaN
49.707,2589,NaN,40.889,NaN
49.742,2589,NaN,38.791,NaN
49.777,2589,NaN,36.983,NaN
49.83,2589,NaN,35.336,NaN
49.887,2589,NaN,33.045,NaN
49.97,2589,NaN,31.319,NaN
50.057,2589,NaN,29.725,NaN
50.224,2589,NaN,28.382,NaN
50.318,2589,NaN,26.333,NaN
50.499,2589,NaN,26.18,NaN
50.999,2589,NaN,25.614,NaN
51.499,2589,NaN,25.301,NaN
51.999,2589,NaN,25.484,NaN
52.248,2589,NaN,25.781,NaN
52.701,2589,NaN,25.328,NaN
53.201,2589,NaN,25.342,NaN
53.701,2589,NaN,25.426,NaN
53.98,2589,NaN,25.794,NaN
54.116,2589,NaN,25.253,NaN
54.547,2589,NaN,25.246,NaN
55.047,2589,NaN,25.635,NaN
55.34,2589,NaN,25.293,NaN
55.84,2589,NaN,25.303,NaN
56.128,2589,NaN,25.971,NaN
56.324,2589,NaN,25.08,NaN
56.556,2589,NaN,25.447,NaN
56.816,2589,NaN,25.278,NaN
57.316,2589,NaN,25.376,NaN
57.816,2589,NaN,25.36,NaN
58.073,2589,NaN,26.144,NaN
58.39,2589,NaN,25.262,NaN
58.568,2589,NaN,25.434,NaN
59.068,2589,NaN,25.468,NaN
59.344,2589,NaN,25.498,NaN
59.475,2589,NaN,25.588,NaN
59.975,2589,NaN,25.489,NaN
60.475,2589,NaN,25.293,NaN
60.874,2589,NaN,26.148,NaN
61.119,2589,NaN,24.837,NaN
61.303,2589,NaN,25.66,NaN
61.479,2589,NaN,25.221,NaN
61.673,2589,NaN,25.597,NaN
62.173,2589,NaN,25.406,NaN
62.673,2589,NaN,25.399,NaN
63.092,2589,NaN,25.427,NaN
63.592,2589,NaN,25.593,NaN
63.889,2589,NaN,25.262,NaN
64.389,2589,NaN,25.349,NaN
64.889,2589,NaN,25.398,NaN
65.389,2589,NaN,25.35,NaN
65.889,2589,NaN,25.381,NaN
66.389,2589,NaN,25.355,NaN
66.742,2589,NaN,25.784,NaN
67.107,2589,NaN,25.132,NaN
67.416,2589,NaN,25.612,NaN
67.661,2589,NaN,25.297,NaN
67.999,2589,NaN,25.358,NaN
68.381,2589,NaN,25.732,NaN
68.561,2589,NaN,25.336,NaN
68.751,2589,NaN,25.202,NaN
68.938,2589,NaN,25.563,NaN
69.226,2589,NaN,25.948,NaN
69.401,2589,NaN,25.021,NaN
69.561,2589,NaN,25.541,NaN
70.061,2589,NaN,25.618,NaN
70.276,2589,NaN,25.435,NaN
70.776,2589,NaN,25.433,NaN
71.276,2589,NaN,25.366,NaN
71.776,2589,NaN,25.352,NaN
71.966,2589,NaN,27.046,NaN
72.06,2589,NaN,24.925,NaN
72.352,2589,NaN,25.213,NaN
72.634,2589,NaN,25.256,NaN
72.937,2589,NaN,25.544,NaN
73.437,2589,NaN,25.333,NaN
73.692,2589,NaN,25.927,NaN
74.115,2589,NaN,25.325,NaN
74.43,2589,NaN,25.388,NaN
74.741,2589,NaN,25.416,NaN
75.241,2589,NaN,25.366,NaN
75.741,2589,NaN,25.358,NaN
76.241,2589,NaN,25.551,NaN
76.741,2589,NaN,25.202,NaN
77.079,2589,NaN,26.084,NaN
77.579,2589,NaN,25.75,NaN
77.985,2589,NaN,25.047,NaN
78.317,2589,NaN,25.615,NaN
78.817,2589,NaN,25.377,NaN
79.317,2589,NaN,25.873,NaN
79.486,2589,NaN,25.533,NaN
79.574,2589,NaN,25.038,NaN
80.074,2589,NaN,25.152,NaN
80.323,2589,NaN,26.158,NaN
80.786,2589,NaN,25.417,NaN
81.204,2589,NaN,25.274,NaN
81.704,2589,NaN,25.498,NaN
82.204,2589,NaN,25.282,NaN
82.466,2589,NaN,26.049,NaN
82.709,2589,NaN,25.153,NaN
83.209,2589,NaN,25.366,NaN
83.709,2589,NaN,25.414,NaN
83.993,2589,NaN,25.748,NaN
84.493,2589,NaN,25.374,NaN
84.993,2589,NaN,25.333,NaN
85.493,2589,NaN,25.412,NaN
85.756,2589,NaN,25.98,NaN
85.944,2589,NaN,25.072,NaN
86.097,2589,NaN,25.785,NaN
86.27,2589,NaN,25.252,NaN
86.598,2589,NaN,25.265,NaN
86.894,2589,NaN,25.685,NaN
87.065,2589,NaN,25.317,NaN
87.246,2589,NaN,25.917,NaN
87.548,2589,NaN,25.386,NaN
87.676,2589,NaN,25.713,NaN
88.176,2589,NaN,25.599,NaN
88.458,2589,NaN,25.21,NaN
88.958,2589,NaN,25.413,NaN
89.221,2589,NaN,25.782,NaN
89.429,2589,NaN,25.149,NaN
89.597,2589,NaN,25.753,NaN
89.954,2589,NaN,26.027,NaN
90.115,2589,NaN,24.941,NaN
90.42,2589,NaN,25.374,NaN
90.92,2589,NaN,25.552,NaN
91.389,2589,NaN,25.187,NaN
91.889,2589,NaN,25.491,NaN
92.295,2589,NaN,25.544,NaN
92.795,2589,NaN,25.258,NaN
93.295,2589,NaN,25.445,NaN
93.795,2589,NaN,25.385,NaN
94.295,2589,NaN,25.34,NaN
94.795,2589,NaN,25.452,NaN
95.295,2589,NaN,25.299,NaN
95.795,2589,NaN,25.416,NaN
96.295,2589,NaN,25.377,NaN
96.694,2589,NaN,25.523,NaN
97.194,2589,NaN,25.259,NaN
97.694,2589,NaN,25.569,NaN
98.194,2589,NaN,25.425,NaN
98.374,2589,NaN,26.146,NaN
98.591,2589,NaN,25.341,NaN
98.93,2589,NaN,25.228,NaN
99.43,2589,NaN,25.416,NaN
99.855,2589,NaN,25.486,NaN
100.355,2589,NaN,25.301,NaN
100.855,2589,NaN,25.478,NaN
101.236,2589,NaN,25.442,NaN
101.736,2589,NaN,25.292,NaN
102.236,2589,NaN,25.522,NaN
102.519,2589,NaN,25.573,NaN
102.835,2589,NaN,25.211,NaN
103.335,2589,NaN,25.387,NaN
103.835,2589,NaN,25.354,NaN
104.335,2589,NaN,25.373,NaN
104.835,2589,NaN,25.411,NaN
105.335,2589,NaN,25.324,NaN
105.835,2589,NaN,25.481,NaN
106.153,2589,NaN,25.532,NaN
106.389,2589,NaN,25.259,NaN
106.889,2589,NaN,25.41,NaN
107.389,2589,NaN,25.345,NaN
107.638,2589,NaN,26.123,NaN
107.815,2589,NaN,25.069,NaN
107.979,2589,NaN,25.385,NaN
108.479,2589,NaN,25.368,NaN
108.877,2589,NaN,25.459,NaN
109.301,2589,NaN,25.319,NaN
109.562,2589,NaN,25.83,NaN
109.898,2589,NaN,25.24,NaN
110.176,2589,NaN,25.471,NaN
110.676,2589,NaN,25.343,NaN
111.155,2589,NaN,25.883,NaN
111.358,2589,NaN,25.177,NaN
111.858,2589,NaN,25.238,NaN
112.131,2589,NaN,25.866,NaN
112.631,2589,NaN,25.853,NaN
112.823,2589,NaN,25.17,NaN
113.127,2589,NaN,25.168,NaN
113.349,2589,NaN,26.107,NaN
113.849,2589,NaN,25.874,NaN
114.021,2589,NaN,25.239,NaN
114.123,2589,NaN,25.149,NaN
114.228,2589,NaN,25.215,NaN
114.411,2589,NaN,25.496,NaN
114.559,2589,NaN,25.246,NaN
114.659,2589,NaN,26.039,NaN
114.792,2589,NaN,26.694,NaN
114.954,2589,NaN,25.657,NaN
115.059,2589,NaN,24.975,NaN
